domain,sources,date_snapshotted,available,mbfc_tags,ng_tags,os_tags,pf_tags
canadafreepress.com,OpenSources;MBFC,,TRUE,Extreme Right;Propaganda;Conspiracy;Some Fake News,,conspiracy;bias,
canadianvalleyguide.com,NYTimesPinkSlime,,,,,,
cannasos.com,OpenSources;PolitiFact;Allcott18,,TRUE,,,fake;unreliable,
cantonreporter.com,NYTimesPinkSlime,,,,,,
cap-news.com,OpenSources,,TRUE,,,fake,
capecodledger.com,NYTimesPinkSlime,,,,,,
capemonews.com,NYTimesPinkSlime,,,,,,
capitaldistricttimes.com,NYTimesPinkSlime,,,,,,
carbondalereporter.com,NYTimesPinkSlime,,,,,,
carrollcoguide.com,NYTimesPinkSlime,,,,,,
cartelpress.com,Buzzfeed16;Buzzfeed17;Allcott18;Grinberg19,,FALSE,,,,
cartelreport.com,Buzzfeed17;Buzzfeed18;Allcott18;Grinberg19,,FALSE,,,,
catholicmasslive.com,NYTimesPinkSlime,,,,,,
cbdhealthcures.com,NewsGuard,,TRUE,,ownership;management;newsOpinion;falseContent;basicStandards;contentCreators;deceptiveHeadlines;accountabilityPractices,,
cbinfo24.com,FactCheck;NewsGuard,,FALSE,,falseContent;basicStandards;accountabilityPractices;newsOpinion;deceptiveHeadlines;ownership;management;contentCreators,,
cbs-news.us,NewsGuard,,FALSE,,ownership;management;newsOpinion;falseContent;basicStandards;contentCreators;deceptiveHeadlines;accountabilityPractices,,
cbsnews.com.co,OpenSources;MBFC,,FALSE,Imposter Site;Fake News,,fake,
cbsnews10.com,Buzzfeed18;NewsGuard,,FALSE,,falseContent;basicStandards;accountabilityPractices;deceptiveHeadlines;ownership;management;contentCreators,,
cdareporter.com,NYTimesPinkSlime,,,,,,
cdc.news,NewsGuard,,TRUE,,ownership;newsOpinion;falseContent;basicStandards;contentCreators;labelsAdvertising;deceptiveHeadlines;accountabilityPractices,,
cedarfallsguide.com,NYTimesPinkSlime,,,,,,
cedarrapidstoday.com,NYTimesPinkSlime,,,,,,
celebtricity.com,OpenSources;Wikipedia;Buzzfeed16;Buzzfeed17;Buzzfeed18;Allcott18;Grinberg19,,FALSE,,,satire,
censored.news,MBFC,,TRUE,Extreme Right;Propaganda;Conspiracy,,,
censorship.news,NewsGuard,,TRUE,,ownership;newsOpinion;falseContent;basicStandards;contentCreators;labelsAdvertising;deceptiveHeadlines;accountabilityPractices,,
centennialstatenews.com,NYTimesPinkSlime,,,,,,
centerforsecuritypolicy.org,OpenSources,,TRUE,,,bias;conspiracy,
centerforsecuritypolicy.org/#articles,OpenSources,,TRUE,,,hate,
centralalamedanews.com,NYTimesPinkSlime,,,,,,
centralbrowardnews.com,NYTimesPinkSlime,,,,,,
centralbuckstoday.com,NYTimesPinkSlime,,,,,,
centralchestertoday.com,NYTimesPinkSlime,,,,,,
centralcoloradonews.com,NYTimesPinkSlime,,,,,,
centralgeorgianews.com,NYTimesPinkSlime,,,,,,
centralidahotimes.com,NYTimesPinkSlime,,,,,,
centraliowatimes.com,NYTimesPinkSlime,,,,,,
centrallouisiananews.com,NYTimesPinkSlime,,,,,,
centralmissourinews.com,NYTimesPinkSlime,,,,,,
centralmontanatimes.com,NYTimesPinkSlime,,,,,,
centralndnews.com,NYTimesPinkSlime,,,,,,
centralnovanews.com,NYTimesPinkSlime,,,,,,
centraloctimes.com,NYTimesPinkSlime,,,,,,
centralohiotoday.com,NYTimesPinkSlime,,,,,,
centraloregontimes.com,NYTimesPinkSlime,,,,,,
centralpanews.com,NYTimesPinkSlime,,,,,,
centralsdnews.com,NYTimesPinkSlime,,,,,,
centralshenandoahnews.com,NYTimesPinkSlime,,,,,,
centralstlnews.com,NYTimesPinkSlime,,,,,,
centraltxnews.com,NYTimesPinkSlime,,,,,,
centralutahnews.com,NYTimesPinkSlime,,,,,,
centralvatimes.com,NYTimesPinkSlime,,,,,,
centralwisconsinnews.com,NYTimesPinkSlime,,,,,,
centralwynews.com,NYTimesPinkSlime,,,,,,
centroplexnews.com,NYTimesPinkSlime,,,,,,
